id,ground_truth_label,model_prediction
3516170025660,skincare,skincare
3600542571951,haircare,haircare
8436576506103,skincare,haircare
3600521627402,makeup,makeup
8594060451084,skincare,haircare
4103040051479,skincare,skincare
3059944026734,skincare,skincare
4550583926700,skincare,skincare
3600550580051,skincare,skincare
8710447473153,skincare,skincare
8719134164183,skincare,skincare
3660005418544,skincare,skincare
4602006362050,makeup,makeup
8690604380138,makeup,makeup
5905359800668,skincare,haircare
8432225114392,haircare,skincare
9300830056491,skincare,skincare
4059729419606,makeup,makeup
4750832006874,skincare,skincare
5045091051628,skincare,skincare
6132349400563,skincare,haircare
3700214611258,skincare,skincare
2005040432000,skincare,skincare
3450270016862,skincare,skincare
4062300421677,skincare,skincare
5060176674684,haircare,haircare
7500435185691,haircare,skincare
3600550258301,skincare,skincare
3522930003694,skincare,skincare
8710447246771,haircare,haircare
8021983812475,skincare,haircare
3600531640378,makeup,makeup
7501007533971,skincare,haircare
4011609011904,skincare,skincare
4017645028579,haircare,haircare
4059729231635,makeup,makeup
4066447106404,skincare,skincare
8681127023633,haircare,skincare
5701943102619,skincare,skincare
7621500114153,haircare,skincare
5063334011864,skincare,skincare
3474630618435,haircare,haircare
42097976,makeup,haircare
3596710517350,skincare,haircare
8480024553065,skincare,haircare
8008970002859,skincare,haircare
5029053550152,skincare,haircare
4005900691521,skincare,skincare
3760349312772,skincare,skincare
3140100143119,haircare,haircare
8480000441683,haircare,haircare
3182611233019,skincare,haircare
4005900901514,skincare,skincare
4987176335166,skincare,skincare
3251241047966,haircare,haircare
3001000012502,skincare,skincare
3770013899126,skincare,skincare
8025916128084,skincare,skincare
3058320028201,skincare,skincare
3600541524415,haircare,skincare
4058172703072,skincare,haircare
4305615629896,skincare,skincare
3574661593524,haircare,haircare
6111259376878,skincare,haircare
3560070311453,skincare,skincare
5901018021566,haircare,skincare
4823071656435,skincare,skincare
3560070957477,skincare,skincare
4039401751002,skincare,skincare
4311501677834,skincare,skincare
4820185227315,skincare,skincare
4066447591620,skincare,skincare
6130601012028,skincare,haircare
5694520711123,haircare,haircare
3760099730000,skincare,skincare
8690937016124,haircare,haircare
3253581754047,skincare,skincare
8017331052204,skincare,haircare
8720181456855,skincare,haircare
4006000011400,skincare,skincare
8901396368205,skincare,skincare
3141389959873,skincare,haircare
3282770396515,haircare,haircare
7453078535074,skincare,haircare
8710908317361,skincare,skincare
3760214630024,skincare,skincare
8699863459418,skincare,skincare
3263855988924,skincare,haircare
8697853217857,skincare,skincare
5000174860177,skincare,skincare
3283950040051,skincare,skincare
5013575111182,skincare,skincare
8901207044472,haircare,haircare
4005900465481,skincare,skincare
3800500324463,skincare,skincare
4010355505903,skincare,haircare
8054042630208,haircare,skincare
4311596018208,skincare,skincare
3770018286150,skincare,skincare
4056489254805,haircare,skincare
